DT,COMP_PRD_NO,COMP_STOCK_NO,BASE_QTY,INCM_QTY,END_QTY,ORD_CNT,ORD_QTY,MIN_ACTUAL_PAY,MED_ACTUAL_PAY,EVNT_11ST_2016,EVNT_MW_HOT_ISSUE,EVNT_MW_SHCK_DEAL,EVNT_MW_LOWER_BANS,EVNT_NOW_BANS,EVNT_OTHERS
2017-01-07,1624714294,6252686295,2790,0,2630,89,197,17005,17900,N,N,N,N,N,N
2017-01-10,1624714294,6252686295,2125,0,1861,109,217,16495,17360,N,N,N,N,N,N
2017-01-08,1624714294,6252686295,2630,0,2630,111,244,17005,17900,N,N,N,N,N,N
2017-01-09,1624714294,6252686295,2630,0,2125,119,264,17005,17900,N,N,N,N,N,N
2017-01-11,1624714294,6252686295,1861,0,1292,416,871,12600,15455,N,N,N,N,N,N
2017-01-12,1624714294,6252686295,1292,1280,2020,129,279,16495,17570,N,N,N,N,N,N
2017-01-15,1624714294,6252686295,2286,0,2286,101,205,16480,17360,N,N,N,N,N,N
2017-01-13,1624714294,6252686295,2020,0,1779,102,207,16495,17538,N,N,N,N,N,N
2017-01-14,1624714294,6252686295,1779,0,2286,76,157,16495,17449,N,N,N,N,N,N
2017-01-16,1624714294,6252686295,2286,0,1823,129,265,16495,17360,N,N,N,N,N,N
2017-01-17,1624714294,6252686295,1823,0,1551,116,273,16495,17505,N,N,N,N,N,N
2017-01-20,1624714294,6252686295,2368,0,2171,70,151,16085,17360,N,N,N,N,N,N
2017-01-18,1624714294,6252686295,1551,1280,2601,109,233,14245,17540,N,N,N,N,N,N
2017-01-19,1624714294,6252686295,2601,0,2368,102,218,16495,17360,N,N,N,N,N,N
2017-01-21,1624714294,6252686295,2171,0,2171,44,88,16495,17360,N,N,N,N,N,N
2017-01-22,1624714294,6252686295,2171,0,2107,54,111,16495,17820,N,N,N,N,N,N
2017-01-25,1624714294,6252686295,1666,0,1497,114,230,14245,17055,N,N,N,Y,N,Y
